region,hour_of_day,avg_occupancy,current_revenue_per_hour,target_revenue_per_hour,optimized_revenue_per_hour,avg_spaces,current_rate,recommended_rate,revenue_uplift
South Lake Union,10,0.35418722452475965,823.9931448112249,1824.1958621628758,1824.1958621628758,1140.1224138517973,2.0,0.5,1000.2027173516509
South Lake Union,11,0.39067394939854244,909.5926987543429,1824.1566218311002,1824.1566218311002,1140.0978886444375,2.0,0.5,914.5639230767573
South Lake Union,12,0.40554155167183137,944.6875403524733,1824.1667948857746,1824.1667948857746,1140.104246803609,2.0,0.5,879.4792545333013
South Lake Union,13,0.3888456498985452,905.4349831485878,1824.2055148659174,1824.2055148659174,1140.1284467911983,2.0,0.5,918.7705317173296
South Lake Union,14,0.34109310876150434,793.2241805022148,1824.2334830526381,1824.2334830526381,1140.145926907899,2.0,0.5,1031.0093025504234
South Lake Union,15,0.2971379216865184,685.5190402649414,1810.402972901106,1810.402972901106,1131.501858063191,2.0,0.5,1124.8839326361647
South Lake Union,16,0.28259886809567614,631.9370657804409,1765.2090397896748,1765.2090397896748,1103.2556498685467,2.0,0.5,1133.2719740092339
South Lake Union,17,0.2680684821630641,596.5695753323095,1744.3302685097653,1744.3302685097653,1090.2064178186033,2.0,0.5,1147.7606931774558
South Lake Union,18,0.12550421660643382,11.237162879375692,78.61488095238096,78.61488095238096,49.134300595238095,2.0,2.0,67.37771807300527
South Lake Union,19,0.11098344816088884,22.09220068614914,152.41515151515154,152.41515151515154,95.2594696969697,2.0,2.0,130.3229508290024
